127.0.0.1 - - [23/Aug/2022:21:52:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:08 +0900] "GET /intrip/ HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:11 +0900] "GET /intrip/login_signup/login HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:11 +0900] "GET /intrip/resources/js/login/login.js HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:11 +0900] "GET /intrip/resources/images/login/kakao_login_medium.png HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:11 +0900] "GET /intrip/resources/css/login_signup/login.css HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:11 +0900] "GET /intrip/resources/images/login/naver.png HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "POST /intrip/login_signup/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/mainpage/main HTTP/1.1" 200 17308
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/css/main/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/css/header/header.css?ver123 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/images/main/left.png HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/images/main/right.png HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/images/main/people.png HTTP/1.1" 200 34291
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:18 +0900] "GET /intrip/resources/images/main/Loudspeaker.png HTTP/1.1" 200 16528
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:27 +0900] "GET /intrip/board/community-acco HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:27 +0900] "GET /intrip/board/css/bootstrap.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:27 +0900] "GET /intrip/resources/css/header/header2.css?ver123 HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:29 +0900] "GET /intrip/board/community_writeWith.do HTTP/1.1" 200 6705
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:29 +0900] "GET /intrip/resources/css/community/community_write.css HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:32 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 12235
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:32 +0900] "GET /intrip/resources/css/community/community_detail.css HTTP/1.1" 200 4467
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:36 +0900] "POST /intrip/board/boardreplyWrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:36 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:38 +0900] "POST /intrip/board/boardreplyWrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:38 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 14452
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:40 +0900] "GET /intrip/board/boardreplyUpdateView?post_num=21&com_num=33 HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:44 +0900] "POST /intrip/board/boardreplyUpdate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:44 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 14454
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:48 +0900] "POST /intrip/board/boardreplyDelete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:48 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:51 +0900] "POST /intrip/board/boardreplyWrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:51 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 14454
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:52:56 +0900] "GET /intrip/board/modBoard.do?post_num=21 HTTP/1.1" 200 8480
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:05 +0900] "POST /intrip/board/modBoard.do HTTP/1.1" 201 117
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:06 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 14624
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:06 +0900] "GET /intrip/download.do?imageFileName=213.PNG&post_num=21 HTTP/1.1" 200 686761
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:08 +0900] "GET /intrip/board/modBoard.do?post_num=21 HTTP/1.1" 200 9659
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:08 +0900] "GET /intrip/download.do?imageFileName=213.PNG&post_num=21 HTTP/1.1" 200 686761
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:14 +0900] "POST /intrip/board/modBoard.do HTTP/1.1" 201 117
0:0:0:0:0:0:0:1 - - [23/Aug/2022:21:53:14 +0900] "GET /intrip/board/community_detail.do?post_num=21 HTTP/1.1" 200 14782
